Internal ID,going out,gender,age,country,area,dress,day,"Click Coordinates (x, y)",Media
90272821,No,Male,44,United States,NM,White and gold,Sunday,"(84, 25)",Science
90272840,No,Male,40,United States,Oregon,White and gold,Sunday,"(75, 23)",Science
90272841,No,Male,23,United States,exton pa,White and gold,Friday,"(70, 10)",Science
90272852,No,Male,43,Unknown,Unknown,Unknown,Friday,"(75, 23)",Science
90272854,No,Male,33,Canada,Ontario,Blue and black,Friday,"(55, 5)",Science
90272858,No,Male,40,Canada,Ontario,Blue and black,Sunday,"(76, 24)",Science
90272859,No,Female,53,United States,Washington,White and gold,Sunday,"(70, 28)",Science
90272865,No,Male,56,Canada,Quebec,White and gold,Friday,"(73, 24)",Science
90272866,No,Male,64,United States,New York,White and gold,Sunday,"(77, 24)",Science
90272867,Yes,Male,43,United States,California,White and gold,Sunday,Unknown,Science
90272868,No,Female,37,Canada,Ontario,Blue and black,Sunday,"(75, 25)",Science
90272878,No,Male,64,United States,Texas,Unknown,Friday,"(74, 30)",Science
90272880,No,I'd rather not say,59,United States,New York,Blue and black,Sunday,"(79, 5)",Science
90272881,No,Male,48,United States,Colorado,White and gold,Sunday,"(79, 29)",Science
90272885,No,Male,45,United Kingdom,aberdeenshire,Blue and black,Sunday,"(58, 5)",Science
90272886,Yes,Male,33,Canada,Alberta,Blue and black,Friday,"(76, 13)",Science
90272887,Yes,Male,37,United States,Wisconsin,White and gold,Friday,"(85, 16)",Science
90272891,No,Female,49,United States,RI,Unknown,Friday,Unknown,Unknown
90272895,No,Male,34,United States,Minnesota,Blue and black,Friday,"(80, 25)",Science
90272897,No,Male,35,United States,Michigan,Blue and black,Sunday,"(69, 22)",Science
90272898,Yes,Male,38,United States,Florida,White and gold,Friday,"(74, 26)",Science
90272899,No,Male,58,United States,New Jersey,White and gold,Friday,"(73, 25)",Science
90272901,No,Male,35,United States,Colorado,Blue and black,Sunday,"(77, 25)",Science
90272903,Yes,Male,50,United States,California,Blue and black,Sunday,"(75, 22)",Science
90272904,No,Female,33,United States,Michigan,White and gold,Friday,Unknown,Unknown
90272905,No,Male,47,United States,California,White and gold,Friday,"(57, 9)",Science
90272913,No,Male,52,United States,Illinois,White and gold,Friday,"(75, 31)",Science
90272919,No,Male,63,United States,Wisconsin,White and gold,Sunday,"(66, 34)",Science
90272924,No,Female,48,United States,Minnesota,White and gold,Friday,"(16, 32)",Daily Dish
90272927,No,Male,52,United Kingdom,London,White and gold,Friday,"(66, 18)",Science
90272930,No,Male,65,United States,New Jersey,Unknown,Friday,Unknown,Unknown
90272933,No,Female,45,United States,Minnesota,White and gold,Sunday,"(76, 13)",Science
90272934,No,Male,41,United States,Texas,Blue and black,Sunday,"(66, 31)",Science
90272939,No,Male,47,United States,Texas,White and gold,Friday,"(86, 23)",Science
90272940,No,Male,44,United States,District of Columbia,White and gold,Friday,"(69, 26)",Science
90272944,No,Male,49,United States,Washington,Blue and black,Sunday,"(70, 10)",Science
90272945,No,Male,31,United States,Massachusetts,White and gold,Sunday,"(70, 22)",Science
90272947,No,Male,59,United States,Oregon,Blue and black,Sunday,"(77, 30)",Science
90272948,No,Female,50,United States,Illinois,Blue and black,Friday,"(77, 34)",Science
90272960,No,Male,34,United States,New York,Blue and black,Sunday,"(85, 77)",Yahoo
90272961,No,Male,61,United States,Massachusetts,White and gold,Sunday,"(80, 15)",Science
90272962,No,Female,44,Canada,Alberta,White and gold,Sunday,"(82, 32)",Science
90272963,No,Male,46,United Arab Emirates,Abu Dhabi,White and gold,Friday,"(66, 20)",Science
90272966,No,Male,54,United States,Pennsylvania,White and gold,Sunday,"(76, 29)",Science
90272975,No,Male,41,United States,Dc,White and gold,Friday,"(78, 32)",Science
90272976,No,Female,46,United States,Pennsylvania,White and gold,Friday,"(85, 36)",Science
90272978,No,Female,50,United States,California,White and gold,Friday,"(70, 27)",Science
90272985,No,Male,37,United States,Virginia,White and gold,Friday,"(43, 91)",ESPN
90272986,No,Male,45,United States,Illinois,Blue and black,Friday,"(74, 71)",Yahoo
90272991,No,Male,53,United States,Florida,White and gold,Friday,"(71, 15)",Science
90272994,No,Female,62,United States,Minnesota,White and gold,Friday,"(67, 19)",Science
90272995,No,Female,40,Canada,yukon,Blue and black,Sunday,"(80, 39)",Science
90272996,Yes,Female,40,United States,Pennsylvania,White and gold,Sunday,"(72, 42)",Science
90273000,No,Male,29,United States,Maryland,Blue and black,Sunday,"(86, 32)",Science
90273001,No,Male,33,United States,Virginia,Blue and black,Friday,"(77, 31)",Science
90273005,No,Female,42,Canada,Alberta,White and gold,Friday,"(29, 30)",Daily Dish
90273008,No,Male,39,Greenland,OXFORDSHIRE,White and gold,Sunday,"(66, 3)",Science
90273011,No,Male,36,United States,Minnesota,White and gold,Friday,"(85, 24)",Science
90273016,No,Male,38,United States,DC,White and gold,Sunday,"(88, 41)",Science
90273017,No,Female,32,United States,Iowa,White and gold,Friday,"(79, 16)",Science
90273019,No,Male,48,United States,Minnesota,Blue and black,Sunday,"(81, 20)",Science
90273023,No,Female,38,United States,TN,White and gold,Sunday,"(77, 21)",Science
90273028,No,Male,44,United States,Ohio,White and gold,Sunday,"(74, 20)",Science
